,tags_overall,f1-score,precision,recall,support,model_name,model_type
60,MD,0.5307237141556669,0.5182222222222223,0.5438432835820896,1072.0,crf-baseline-fold03-seed02.joblib,crf-baseline
61,NEG,0.34888438133874244,0.4777777777777778,0.2747603833865815,313.0,crf-baseline-fold03-seed02.joblib,crf-baseline
62,NN,0.7467968273337401,0.6989792276393747,0.8016373311502252,12215.0,crf-baseline-fold03-seed02.joblib,crf-baseline
63,NND,0.4096916299559471,0.5568862275449101,0.3240418118466899,287.0,crf-baseline-fold03-seed02.joblib,crf-baseline
64,NNP,0.9176186759384092,0.9082736339373508,0.9271580154860912,6974.0,crf-baseline-fold03-seed02.joblib,crf-baseline
65,OD,0.6835443037974683,0.7788461538461539,0.6090225563909775,133.0,crf-baseline-fold03-seed02.joblib,crf-baseline
66,PR,0.4900523560209424,0.5584725536992841,0.4365671641791045,1072.0,crf-baseline-fold03-seed02.joblib,crf-baseline
67,PRP,0.7751164337990685,0.7882273342354533,0.7624345549738221,1528.0,crf-baseline-fold03-seed02.joblib,crf-baseline
68,RB,0.33046926635822865,0.463821892393321,0.2566735112936345,974.0,crf-baseline-fold03-seed02.joblib,crf-baseline
69,RP,0.26666666666666666,0.75,0.16216216216216214,37.0,crf-baseline-fold03-seed02.joblib,crf-baseline
70,SC,0.4563143838229684,0.44945509207065015,0.463386284385897,2581.0,crf-baseline-fold03-seed02.joblib,crf-baseline
71,SYM,0.9048843187660668,0.9263157894736842,0.8844221105527639,398.0,crf-baseline-fold03-seed02.joblib,crf-baseline
72,UH,0.0,0.0,0.0,8.0,crf-baseline-fold03-seed02.joblib,crf-baseline
73,VB,0.6890972327234236,0.6609137055837564,0.7197915021323645,6331.0,crf-baseline-fold03-seed02.joblib,crf-baseline
74,WH,0.3376623376623377,0.65,0.2280701754385965,57.0,crf-baseline-fold03-seed02.joblib,crf-baseline
75,X,0.05882352941176471,0.375,0.031914893617021274,94.0,crf-baseline-fold03-seed02.joblib,crf-baseline
76,Z,0.994095041709626,0.9915856394913988,0.9966171772223268,5321.0,crf-baseline-fold03-seed02.joblib,crf-baseline
77,fw,0.0,0.0,0.0,0.0,crf-baseline-fold03-seed02.joblib,crf-baseline
78,macro avg,0.5042474419782784,0.5916820781419561,0.4705093425665134,51191.0,crf-baseline-fold03-seed02.joblib,crf-baseline
79,micro avg,0.7287218456369283,0.7287218456369283,0.7287218456369283,51191.0,crf-baseline-fold03-seed02.joblib,crf-baseline
80,weighted avg,0.7196354312830294,0.7203580159290681,0.7287218456369283,51191.0,crf-baseline-fold03-seed02.joblib,crf-baseline
81,CC,0.2663736263736264,0.35273573923166474,0.21398305084745764,1416.0,crf-baseline-fold04-seed06.joblib,crf-baseline
82,CD,0.8392804482453552,0.8743471582181259,0.8069180606747944,3527.0,crf-baseline-fold04-seed06.joblib,crf-baseline
83,DT,0.3918918918918919,0.5087719298245614,0.31868131868131866,91.0,crf-baseline-fold04-seed06.joblib,crf-baseline
84,FW,0.5523560209424084,0.7589928057553957,0.4341563786008231,486.0,crf-baseline-fold04-seed06.joblib,crf-baseline
85,IN,0.6189407540394973,0.5909577887293764,0.6497055359246172,4245.0,crf-baseline-fold04-seed06.joblib,crf-baseline
86,JJ,0.4295625942684766,0.5317401045556386,0.3603238866396761,1976.0,crf-baseline-fold04-seed06.joblib,crf-baseline
87,MD,0.5219399538106235,0.5117753623188406,0.532516493873704,1061.0,crf-baseline-fold04-seed06.joblib,crf-baseline
88,NEG,0.3684210526315789,0.52,0.2852664576802508,319.0,crf-baseline-fold04-seed06.joblib,crf-baseline
89,NN,0.746290127195639,0.7009671454985066,0.7978792293993848,12354.0,crf-baseline-fold04-seed06.joblib,crf-baseline
